SalesID,SalesPrice
1227829,18486.048213088652
1227844,21760.906986209808
1227847,56174.09294982049
1227848,82893.36242432604
1227863,38987.58959994254
1227870,26775.40091743768
1227871,25416.585094371858
1227879,13984.043957619033
1227880,15208.388972625811
1227881,42091.0096806788
1227882,43957.61701630413
1227883,59059.3358955859
1227885,47102.786044579785
1227886,50920.58614752695
1227887,24513.84941501853
1227888,24513.84941501853
1227905,23023.15991923596
1227910,51205.65861154097
1227911,31294.751607325128
1227912,37791.145107615695
1227913,26201.913521778075
1227914,33776.84306162247
1227917,12683.72932577828
1227918,28875.616947981496
1227920,12141.602153293332
1227924,27791.5180088516
1227925,22908.447000575674
1227930,12877.904738942974
1227933,16277.784051875771
1227942,14890.795757020756
1227949,28382.173698477876
1227972,15804.715307238912
1227976,42971.265490500795
1227977,10311.56413615624
1227979,47126.51038095892
1227980,15816.822059147134
1227988,18198.121455069984
1227990,15039.864794189869
1227991,17397.040105863634
1227992,20106.812138175006
1227994,31202.33521688437
1227997,17397.040105863634
1228007,42552.99207918558
1228012,75169.32725269799
1228019,75712.8897926692
1228031,23631.231321782794
1228040,61368.032374760296
1228042,19706.275146422206
1228046,12818.100228475232
1228049,28526.800152461914
1228050,25833.61850839791
1228056,11333.810889437358
1228061,26793.30144664703
1228065,7945.711333837301
1228069,8231.30599941997
1228071,52593.62241108565
1228072,51655.81817828141
1228075,25096.09981562555
1228076,28907.520838452336
1228089,43790.50613466055
1228104,20645.050662164635
1228105,55456.611012897774
1228107,33876.61346415023
1228113,56332.3309073967
1228117,48955.51883573943
1228119,46592.629731379726
1228122,39162.56794131794
1228123,74538.49520577461
1228124,9793.081621508867
1228129,31903.834173867068
1228130,67106.89352178323
1228131,63916.59906978987
1228134,38485.81252489341
1228135,27938.50742462875
1228136,36224.96871728489
1228142,17168.174489045814
1228145,42401.96237478552
1228149,26203.437892158865
1228150,24706.86331298559
1228152,40840.812120885654
1228153,21567.41167193373
1228155,9749.743140165934
1228156,48307.83216811855
1228157,49892.63468149498
1228158,45746.43620268621
1228160,24420.7039025789
1228161,24355.409293049
1228168,16714.53665044106
1228179,22174.563389540166
1228182,23042.37122875977
1228183,11222.819323133292
1228188,63269.10388630977
1228192,23026.34793669236
1228195,23397.85344392736
1228197,38848.85819246113
1228198,21132.10091221415
1228200,12694.93988567905
1228203,18949.431467688082
1228214,41658.6803477024
1228217,23212.03749757867
1228219,55125.63445949475
1228222,11359.962210690926
1228225,11848.11892013072
1228228,12317.319505084984
1228229,12870.507717335697
1228231,13173.655711519876
1228236,12826.153687400203
1228237,9198.323625176567
1228238,22366.572190029034
1228244,12055.358534575449
1228245,23701.00236060666
1228247,19846.019039375653
1228248,14572.84851417359
1228253,14867.279326474176
1228254,12588.31418499085
1228256,30952.423257248138
1228265,20118.68149655785
1228270,39559.71902252088
1228277,33225.0595918243
1228287,68893.26824591529
1228288,51622.16628415158
1228289,17778.98521055899
1228290,24393.36333126454
1228291,19412.01409995663
1228292,40766.105838605836
1228293,30877.983206880257
1228305,54005.98670936906
1228314,28907.09347330516
1228315,57750.738359149735
1228320,16127.123030664437
1228326,17005.59362216444
1228328,12622.64876177744
1228329,12154.0866957117
1228330,23964.29069154973
1228332,54037.07645023821
1228333,22769.569954791506
1228345,20629.714434136124
1228351,15769.941212482621
1228352,15936.443751610159
1228353,12885.783576717396
1228354,40518.16503349591
1228356,39646.281273193046
1228357,11709.91040302147
1228359,38707.98491677168
1228360,47807.243490442015
1228361,38068.38280262622
1228362,38068.38280262622
1228364,31023.511655255083
1228365,38286.53735969912
1228367,38068.38280262622
1228368,39213.40941680725
1228369,8297.117937374516
1228371,26484.149539186295
1228374,18611.964436489434
1228375,9451.517845444316
1228376,28142.124153760178
1228380,18388.676303054242
1228381,12141.602153293332
1228384,13258.40072834945
1228385,13293.174012663176
1228386,12397.598793628398
1228387,12808.411587588253
1228389,12397.598793628398
1228391,26215.917361219217
1228394,17057.19925305316
1228395,16702.04077958219
1228400,51127.2915217594
1228401,24806.191415131707
1228402,32789.60424107483
1228403,41156.574226699224
1228404,71991.32691110631
1228406,13067.138474378218
1228411,21913.759139009137
1228415,42444.37294595383
1228416,60139.88811161604
1228421,22605.23633419957
1228422,43530.4357165166
1228424,22885.92905596582
1228426,12373.017508771187
1228429,29431.897789287883
1228430,28816.64270736001
1228437,67563.3931115181
1228438,12961.8404388296
1228439,25330.896480003485
1228442,68893.26824591529
1228494,11819.365682384063
1228496,33320.37367805054
1228498,61071.36340275077
1228499,74765.44857046404
1228503,12359.47000371633
1228506,14186.431625019859
1228508,14445.415313115389
1228509,18344.775388382255
1228510,13857.449552024627
1228518,12925.827050422056
1228519,41930.96347380404
1228524,12357.966189304618
1228525,39758.29996528526
1228533,54790.82599589952
1228535,74539.18901294211
1228536,71302.65483262579
1228542,12403.379814057058
1228553,42235.404080138986
1228561,16119.864146689224
1228562,17224.122158485938
1228568,23837.29164694238
1228569,29682.338425463415
1228570,58662.623646778055
1228572,73277.7241943786
1228573,34286.51996232183
1228575,38943.15579436903
1228579,21843.38015334339
1228582,22701.863622939665
1228583,37652.7078925976
1228586,50087.94316114169
1228590,15336.624485400223
1228591,72147.11422886538
1228593,60350.40055668731
1228594,58940.90556530959
1228595,13281.526041088538
1228598,30378.867811912318
1228604,15577.53594547867
1228605,23154.593298858006
1228606,39489.356588400704
1228618,7804.381296807767
1228619,34427.60502513483
1228622,11759.774083623352
1228623,23105.891213633862
1228627,32951.21735097547
1228628,34052.70195678361
1228629,35961.507837721845
1228630,30277.698935567354
1228631,31822.607803380826
1228633,32914.741550496
